,chapter_num,verse_num,verse,length,stemmed
0,1,1,بسم الله الرحمن الرحيم,4,بسم الله رحمن رحيم
1,1,2,الحمد لله رب العالمين,4,حمد الله رب عالم
2,1,3,الرحمن الرحيم,2,رحمن رحيم
3,1,4,مالك يوم الدين,3,مالك يوم دين
4,1,5,إياك نعبد وإياك نستعين,4,إياك عبد إياك استعان
5,1,6,اهدنا الصراط المستقيم,3,اهد صراط مستقيم
6,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,9,صراط الذي أنعم على غير مغضوب على لا ضال
7,2,0,بسم الله الرحمن الرحيم,4,بسم الله رحمن رحيم
8,2,1,الم,1,الم
9,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين,7,ذلك كتاب لا ريب في هدى متقي
10,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,8,الذي آمن غيب أقام صلاة من رزقناهم أنفق
11,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالاخرة هم يوقنون,12,الذي آمن ما أنزل إلى ما أنزل من قبل اخر هم يوقن
12,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون,8,أولائك على هدى من رب أولائك هم مفلح
13,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,11,إن الذي كفر سواء على أأنذرتهم أم لم أنذر لا آمن
14,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,12,ختم الله على قلب على سمع على أبصار غشاو ل عذاب عظيم
15,2,8,ومن الناس من يقول امنا بالله وباليوم الاخر وما هم بمؤمنين,11,من ناس من قال أمن الله يوم آخر ما هم مؤمن
16,2,9,يخادعون الله والذين امنوا وما يخدعون إلا أنفسهم وما يشعرون,10,خادع الله الذي امن ما خدع إلا نفس ما شعر
17,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,12,في قلب مرض زاد الله مرض ل عذاب أليم ما كان كذب
18,2,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,11,إذا قال ل لا أفسد في أرض قال إن نحن مصالح
19,2,12,ألا إنهم هم المفسدون ولكن لا يشعرون,7,أن إن هم مفسد لكن لا شعر
20,2,13,وإذا قيل لهم امنوا كما امن الناس قالوا أنؤمن كما امن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون,19,إذا قال ل امن كما أمن ناس قال أنؤمن كما أمن سفيه أن إن هم سفيه لكن لا علم
21,2,14,وإذا لقوا الذين امنوا قالوا امنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون,16,إذا لقي الذي امن قال أمن إذا خلو إلى شيطان قال إن مع إن نحن مستهزئ
22,2,15,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون,7,الله استهزأ ب مد في طغيان عمه
23,2,16,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين,11,أولائك الذي اشترى ضلال هدى ما ربح تجارة ما كان مهتدي
24,2,17,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون,17,مثل مثل الذي استوقد نار لما أضاء ما حول ذهب الله نور ترك في ظلم لا أبصر
25,2,18,صم بكم عمي فهم لا يرجعون,6,أصم ب عم هم لا رجع
26,2,19,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في اذانهم من الصواعق حذر الموت والله محيط بالكافرين,19,أو صيب من سماء في ظلم رعد برق جعل إصبع في اذان من صاعقة حذر موت الله محيط كافر
27,2,20,يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء قدير,25,كاد برق خطف أبصار كل أضاء ل مشى في إذا أظلم على قام لو شاء الله ذهب سمع أبصار إن الله على كل شيء قدير
28,2,21,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,12,يا أي ناس اعبد رب الذي خلق الذي من قبل لعل اتقى
29,2,22,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون,23,الذي جعل ل أرض فراش سماء بناء أنزل من سماء ماء أخرج ب من ثمر رزق ل لا جعل الله ند أنتم علم
30,2,23,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين,20,إن كان في ريب من نزل على عبد أتى سورة من مثل ادعى شهيد من دون الله إن كان صادق
31,2,24,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة أعدت للكافرين,13,إن لم فعل لن فعل اتقى نار الذي وقود ناس حجر أعد كافر
32,2,25,وبشر الذين امنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل وأتوا به متشابها ولهم فيها أزواج مطهرة وهم فيها خالدون,34,بشر الذي امن عمل صالح أن ل جنة جرى من تحت نهر كل رزق من من ثمر رزق قال هذا الذي رزق من قبل أتى ب متشابه ل في زوج مطهر هم في خالد
33,2,26,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها فأما الذين امنوا فيعلمون أنه الحق من ربهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به إلا الفاسقين,39,إن الله لا استحيى أن ضرب مثل ما بعوض ما فوق أما الذي امن علم أن حق من رب أما الذي كفر قال ماذا أراد الله هذا مثل ضل ب كثير هدى ب كثير ما ضل ب إلا فاسق
34,2,27,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض أولئك هم الخاسرون,20,الذي نقض عهد الله من بعد ميثاق قطع ما أمر الله ب أن وصل أفسد في أرض أولائك هم خاسر
35,2,28,كيف تكفرون بالله وكنتم أمواتا فأحياكم ثم يميتكم ثم يحييكم ثم إليه ترجعون,13,كيف كفر الله كان ميت فأحياكم ثم أمات ثم أحيى ثم إلى أرجع
36,2,29,هو الذي خلق لكم ما في الأرض جميعا ثم استوى إلى السماء فسواهن سبع سماوات وهو بكل شيء عليم,19,هو الذي خلق ل ما في أرض جميع ثم استوى إلى سماء فسواهن سبع سماء هو كل شيء عليم
37,2,30,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال إني أعلم ما لا تعلمون,28,إذ قال رب ملأك إن جاعل في أرض خليفة قال أتجعل في من أفسد في سفك دم نحن نسبح حمد نقدس ل قال إن أعلم ما لا علم
38,2,31,وعلم ادم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين,15,علم ادم اسم كل ثم عرض على ملأك قال أنبئوني اسم هذا إن كان صادق
39,2,32,قالوا سبحانك لا علم لنا إلا ما علمتنا إنك أنت العليم الحكيم,12,قال سبحان لا علم ل إلا ما علم إن أنت عليم حكيم
40,2,33,قال يا ادم أنبئهم بأسمائهم فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون,23,قال يا ادم أنبئ اسم لما أنبأ اسم قال ألم أقل ل إن أعلم غيب سماء أرض أعلم ما أبدى ما كان كتم
41,2,34,وإذ قلنا للملائكة اسجدوا لادم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين,13,إذ قال ملأك اسجد ادم سجد إلا إبليس أبى استكبر كان من كافر
42,2,35,وقلنا يا ادم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين,19,قال يا ادم اسكن أنت زوج جنة كلا من رغد حيث شاء لا تقرب هذا شجرة كان من ظالم
43,2,36,فأزلهما الشيطان عنها فأخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الأرض مستقر ومتاع إلى حين,19,أزل شيطان عن أخرج من كان في قال اهبط بعض بعض عدو ل في أرض مستقر متاع إلى حين
44,2,37,فتلقى ادم من ربه كلمات فتاب عليه إنه هو التواب الرحيم,11,لقي ادم من رب كلمة تاب على إن هو تواب رحيم
45,2,38,قلنا اهبطوا منها جميعا فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,17,قال اهبط من جميع إما يأتينكم من هدى من تبع هداي لا خوف على لا هم حزن
46,2,39,والذين كفروا وكذبوا باياتنا أولئك أصحاب النار هم فيها خالدون,10,الذي كفر كذب باي أولائك صاحب نار هم في خالد
47,2,40,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون,14,يا بنون إسرائيل اذكر نعمة الذي أنعم على أوفى عهد أوف عهد إيا ارهب
48,2,41,وامنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ولا تشتروا باياتي ثمنا قليلا وإياي فاتقون,18,امن ما أنزل مصدق ما مع لا كان أول كافر ب لا اشترى باي ثمن قليل إيا اتق
49,2,42,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون,8,لا لبس حق باطل كتم حق أنتم علم
50,2,43,وأقيموا الصلاة واتوا الزكاة واركعوا مع الراكعين,7,أقام صلاة وات زكاة اركع مع راكع
51,2,44,أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب أفلا تعقلون,10,أتأمرون ناس بر نسي نفس أنتم تلون كتاب أفل عقل
52,2,45,واستعينوا بالصبر والصلاة وإنها لكبيرة إلا على الخاشعين,8,استعين صبر صلاة إن كبير إلا على خاشع
53,2,46,الذين يظنون أنهم ملاقو ربهم وأنهم إليه راجعون,8,الذي ظن أن ملاقو رب أن إلى راجع
54,2,47,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين,12,يا بنون إسرائيل اذكر نعمة الذي أنعم على أن فضلة على عالم
55,2,48,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون,19,اتقى يوم لا جزى نفس عن نفس شيء لا قبل من شفاعة لا يؤخذ من عدل لا هم نصر
56,2,49,وإذ نجيناكم من ال فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم,18,إذ نجيناكم من ال فرعون يسومونكم سوء عذاب ذبح ابن استحيى نساء في ذلك بلاء من رب عظيم
57,2,50,وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا ال فرعون وأنتم تنظرون,10,إذ فرق ب بحر أنجى أغرق ال فرعون أنتم نظر
58,2,51,وإذ واعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظالمون,12,إذ واعد موسى أربعون ليلة ثم اتخذ عجل من بعد أنتم ظالم
59,2,52,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون,8,ثم عفا عن من بعد ذلك لعل شكر
60,2,53,وإذ اتينا موسى الكتاب والفرقان لعلكم تهتدون,7,إذ أتى موسى كتاب فرقان لعل اهتدى
61,2,54,وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم إنه هو التواب الرحيم,27,إذ قال موسى قوم يا قوم إن ظلمتم نفس اتخاذ عجل توب إلى بارئ فاقتلوا نفس ذلك خير ل عند بارئ تاب على إن هو تواب رحيم
62,2,55,وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون,15,إذ قال يا موسى لن آمن ل حتى رأى الله جهر فأخذتكم صاعقة أنتم نظر
63,2,56,ثم بعثناكم من بعد موتكم لعلكم تشكرون,7,ثم بعثناكم من بعد موت لعل شكر
64,2,57,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى كلوا من طيبات ما رزقناكم وما ظلمونا ولكن كانوا أنفسهم يظلمون,18,ظلل على غمام أنزل على المن سلوى أكل من طيب ما رزق ما ظلمونا لكن كان نفس ظلم
65,2,58,وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم وسنزيد المحسنين,20,إذ قال أدخل هذا قرية أكل من حيث شاء رغد ادخل باب ساجد قال حط غفر ل خطيئة زاد محسن
66,2,59,فبدل الذين ظلموا قولا غير الذي قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,18,بدل الذي ظلم قول غير الذي قال ل أنزل على الذي ظلم رجز من سماء ما كان فسق
67,2,60,وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل أناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين,28,إذ استسقى موسى قوم قال اضرب عصا حجر انفجر من اثنتا عشر عين قد علم كل إنسان مشرب أكل اشرب من رزق الله لا تعث في أرض مفسد
68,2,61,وإذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها قال أتستبدلون الذي هو أدنى بالذي هو خير اهبطوا مصرا فإن لكم ما سألتم وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ذلك بأنهم كانوا يكفرون بايات الله ويقتلون النبيين بغير الحق ذلك بما عصوا وكانوا يعتدون,60,إذ قال يا موسى لن صبر على طعام واحد ادع ل رب خرج ل من نبت أرض من بقل قثاء فوم عدس بصل قال أتستبدلون الذي هو أدنى الذي هو خير اهبط مصر إن ل ما سأل ضرب على ذلة مسكنة باء غضب من الله ذلك أن كان كفر باي الله قتل نبي غير حق ذلك ما عصى كان اعتدى
69,2,62,إن الذين امنوا والذين هادوا والنصارى والصابئين من امن بالله واليوم الاخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,24,إن الذي امن الذي هاد نصراني صابئ من أمن الله يوم آخر عمل صالح ل أجر عند رب لا خوف على لا هم حزن
70,2,63,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما اتيناكم بقوة واذكروا ما فيه لعلكم تتقون,15,إذ أخذ ميثاق رفع فوق طور أخذ ما اتيناكم قوة اذكر ما في لعل اتقى
71,2,64,ثم توليتم من بعد ذلك فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين,13,ثم تولى من بعد ذلك لولا فضل الله على رحمة كان من خاسر
72,2,65,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خاسئين,12,قد علم الذي اعتدى من في سبت قال ل كان قرد خاسئ
73,2,66,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين,9,جعل نكال ما بين يد ما خلف موعظة متقي
74,2,67,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة قالوا أتتخذنا هزوا قال أعوذ بالله أن أكون من الجاهلين,20,إذ قال موسى قوم إن الله أمر أن ذبح بقر قال أتتخذنا هز قال عاذ الله أن كان من جاهل
75,2,68,قالوا ادع لنا ربك يبين لنا ما هي قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك فافعلوا ما تؤمرون,23,قال ادع ل رب بين ل ما هي قال إن قال إن بقر لا فارض لا بكر عوان بين ذلك افعل ما تؤمر
76,2,69,قالوا ادع لنا ربك يبين لنا ما لونها قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين,18,قال ادع ل رب بين ل ما لون قال إن قال إن بقر أصفر فاقع لون سار ناظر
77,2,70,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون,17,قال ادع ل رب بين ل ما هي إن بقر تشابه على إن إن شاء الله لمهتدون
78,2,71,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقي الحرث مسلمة لا شية فيها قالوا الان جئت بالحق فذبحوها وما كادوا يفعلون,24,قال إن قال إن بقر لا ذلول أثار أرض لا سقى حرث مسلم لا شي في قال الان جاء حق فذبحوها ما كاد فعل
79,2,72,وإذ قتلتم نفسا فادارأتم فيها والله مخرج ما كنتم تكتمون,10,إذ قتل نفس فادارأتم في الله مخرج ما كان كتم
80,2,73,فقلنا اضربوه ببعضها كذلك يحيي الله الموتى ويريكم اياته لعلكم تعقلون,11,قال اضربوه بعض ذلك أحيى الله ميت يريكم ايا لعل عقل
81,2,74,ثم قست قلوبكم من بعد ذلك فهي كالحجارة أو أشد قسوة وإن من الحجارة لما يتفجر منه الأنهار وإن منها لما يشقق فيخرج منه الماء وإن منها لما يهبط من خشية الله وما الله بغافل عما تعملون,37,ثم قس قلب من بعد ذلك هي حجر أو أشد قسوة إن من حجر ما تفجر من نهر إن من ما يشقق خرج من ماء إن من ما هبط من خشية الله ما الله غافل عن عمل
82,2,75,أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,19,أفتطمعون أن آمن ل قد كان فريق من سمع كلام الله ثم يحرفونه من بعد ما عقلوه هم علم
83,2,76,وإذا لقوا الذين امنوا قالوا امنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم أفلا تعقلون,23,إذا لقي الذي امن قال أمن إذا خلا بعض إلى بعض قال أتحدثونهم ما فتح الله على ليحاجوكم ب عند رب أفل عقل
84,2,77,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون,9,أول علم أن الله علم ما أسر ما أعلن
85,2,78,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون,11,من أمي لا علم كتاب إلا أماني إن هم إلا ظن
86,2,79,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون,24,ويل الذي كتب كتاب يد ثم قال هذا من عند الله اشترى ب ثمن قليل ويل ل من كتب يد ويل ل من كسب
87,2,80,وقالوا لن تمسنا النار إلا أياما معدودة قل أتخذتم عند الله عهدا فلن يخلف الله عهده أم تقولون على الله ما لا تعلمون,23,قال لن مس نار إلا يوم معدود قال أتخذتم عند الله عهد لن خلف الله عهد أم قال على الله ما لا علم
88,2,81,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار هم فيها خالدون,13,بلى من كسب سيئ أحاط ب خطيئة أولائك صاحب نار هم في خالد
89,2,82,والذين امنوا وعملوا الصالحات أولئك أصحاب الجنة هم فيها خالدون,10,الذي امن عمل صالح أولائك صاحب جنة هم في خالد
90,2,83,وإذ أخذنا ميثاق بني إسرائيل لا تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة واتوا الزكاة ثم توليتم إلا قليلا منكم وأنتم معرضون,29,إذ أخذ ميثاق بنون إسرائيل لا عبد إلا الله دين إحسان ذو قربى يتيم مسكين قال ناس حسن أقام صلاة وات زكاة ثم تولى إلا قليل من أنتم معرض
91,2,84,وإذ أخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من دياركم ثم أقررتم وأنتم تشهدون,15,إذ أخذ ميثاق لا سفك دم لا خرج نفس من دار ثم أقررتم أنتم شهد
92,2,85,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم وهو محرم عليكم إخراجهم أفتؤمنون ببعض الكتاب وتكفرون ببعض فما جزاء من يفعل ذلك منكم إلا خزي في الحياة الدنيا ويوم القيامة يردون إلى أشد العذاب وما الله بغافل عما تعملون,49,ثم أنتم هذا قتل نفس خرج فريق من من دار ظاهر على إثم عدوان إن أتى أسير فادى هو محرم على إخراج أفتؤمنون بعض كتاب كفر بعض ما جزاء من فعل ذلك من إلا خزي في حياة دنيا يوم قيامة رد إلى أشد عذاب ما الله غافل عن عمل
93,2,86,أولئك الذين اشتروا الحياة الدنيا بالاخرة فلا يخفف عنهم العذاب ولا هم ينصرون,13,أولائك الذي اشترى حياة دنيا اخر لا خفف عن عذاب لا هم نصر
94,2,87,ولقد اتينا موسى الكتاب وقفينا من بعده بالرسل واتينا عيسى ابن مريم البينات وأيدناه بروح القدس أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,28,قد أتى موسى كتاب وقفي من بعد رسول اتي عيسى ابن مريم بينة أيد روح قدس أفكلما جاء رسول ما لا هوي نفس استكبرتم فريق كذب فريق قتل
95,2,88,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون,10,قال قلب غلف بل لعن الله كفر قليل ما آمن
96,2,89,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنة الله على الكافرين,26,لما جاء كتاب من عند الله مصدق ما مع كان من قبل يستفتحون على الذي كفر لما جاء ما عرف كفر ب لعنة الله على كافر
97,2,90,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده فباءوا بغضب على غضب وللكافرين عذاب مهين,27,بئسما اشترى ب نفس أن كفر ما أنزل الله بغي أن نزل الله من فضل على من شاء من عباد باء غضب على غضب كافر عذاب مهين
98,2,91,وإذا قيل لهم امنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين,30,إذا قال ل امن ما أنزل الله قال آمن ما أنزل على كفر ما وراء هو حق مصدق ما مع قال لم قتل نبي الله من قبل إن كان مؤمن
99,2,92,ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وأنتم ظالمون,11,قد جاء موسى بينة ثم اتخذ عجل من بعد أنتم ظالم
100,2,93,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما اتيناكم بقوة واسمعوا قالوا سمعنا وعصينا وأشربوا في قلوبهم العجل بكفرهم قل بئسما يأمركم به إيمانكم إن كنتم مؤمنين,27,إذ أخذ ميثاق رفع فوق طور أخذ ما اتيناكم قوة اسمع قال سمع عصي شرب في قلب عجل كفر قال بئسما أمر ب إيمان إن كان مؤمن
101,2,94,قل إن كانت لكم الدار الاخرة عند الله خالصة من دون الناس فتمنوا الموت إن كنتم صادقين,17,قال إن كان ل دار اخر عند الله خالص من دون ناس تمنى موت إن كان صادق
102,2,95,ولن يتمنوه أبدا بما قدمت أيديهم والله عليم بالظالمين,9,لن يتمنوه أبد ما قدم يد الله عليم ظالم
103,2,96,ولتجدنهم أحرص الناس على حياة ومن الذين أشركوا يود أحدهم لو يعمر ألف سنة وما هو بمزحزحه من العذاب أن يعمر والله بصير بما يعملون,25,ولتجدنهم حرص ناس على حياة من الذي أشرك ود أحد لو عمر ألف سنة ما هو مزحزح من عذاب أن عمر الله بصير ما عمل
104,2,97,قل من كان عدوا لجبريل فإنه نزله على قلبك بإذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين,18,قال من كان عدو جبرئيل إن نزل على قلب إذن الله مصدق ما بين يد هدى بشرة مؤمن
105,2,98,من كان عدوا لله وملائكته ورسله وجبريل وميكال فإن الله عدو للكافرين,12,من كان عدو الله ملأك رسول جبرئيل ميكال إن الله عدو كافر
106,2,99,ولقد أنزلنا إليك ايات بينات وما يكفر بها إلا الفاسقون,10,قد أنزل إلى ايا بينة ما كفر ب إلا فاسق
107,2,100,أوكلما عاهدوا عهدا نبذه فريق منهم بل أكثرهم لا يؤمنون,10,أوكلما عاهد عهد نبذ فريق من بل أكثر لا آمن
108,2,101,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين أوتوا الكتاب كتاب الله وراء ظهورهم كأنهم لا يعلمون,22,لما جاء رسول من عند الله مصدق ما مع نبذ فريق من الذي أوى كتاب كتاب الله وراء ظهور كأن لا علم
109,2,102,واتبعوا ما تتلو الشياطين على ملك سليمان وما كفر سليمان ولكن الشياطين كفروا يعلمون الناس السحر وما أنزل على الملكين ببابل هاروت وماروت وما يعلمان من أحد حتى يقولا إنما نحن فتنة فلا تكفر فيتعلمون منهما ما يفرقون به بين المرء وزوجه وما هم بضارين به من أحد إلا بإذن الله ويتعلمون ما يضرهم ولا ينفعهم ولقد علموا لمن اشتراه ما له في الاخرة من خلاق ولبئس ما شروا به أنفسهم لو كانوا يعلمون,74,اتبع ما تلا شيطان على ملك سليمان ما كفر سليمان لكن شيطان كفر علم ناس سحر ما أنزل على ملك بابل هاروت مارو ما علم من أحد حتى قال إن نحن فتنة لا كفر تعلم من ما فرق ب بين مرء زوج ما هم ضار ب من أحد إلا إذن الله تعلم ما ضر لا نفع قد علم من اشترى ما ل في اخر من خلاق بئس ما شر ب نفس لو كان علم
110,2,103,ولو أنهم امنوا واتقوا لمثوبة من عند الله خير لو كانوا يعلمون,12,لو أن امن اتقى مثوب من عند الله خير لو كان علم
111,2,104,يا أيها الذين امنوا لا تقولوا راعنا وقولوا انظرنا واسمعوا وللكافرين عذاب أليم,13,يا أي الذي امن لا قال راع قال انظر اسمع كافر عذاب أليم
